DIRECTORIO,SECUENCIA_PH,SECUENCIA_P,SECUENCIA_ENCUESTA,TIPO,P3077,P3078,P3079,P3080,P3081,P3082,P3083,P3084,P2990,P3085,P3099,CLASE_TE,COD_DEPTO,AREA,F_EXP
7627459,1,1,1,2,,1,,2,,,,2,2,240,57,1,68,"",64.6682120280561
7627465,1,2,1,2,,1,,2,,,,2,2,24,50,2,76,"",85.403227076484
7627489,1,4,1,1,2,1,1175179,2,,2,,2,2,24,25,1,05,05,74.9230502355623
7627489,1,4,2,1,2,1,1175179,2,,2,,2,2,36,30,1,05,05,74.9230502355623
7627492,1,2,1,2,,1,,1,438058,,,1,2,460,60,1,05,05,90.9560965949108
7627497,1,1,1,2,,1,,1,377400,,,1,2,24,37,1,05,05,77.5705179590575
7627511,1,1,1,1,2,1,500000,2,,2,,2,2,1,16,1,05,05,91.7456756146731
7627514,1,1,1,1,1,1,1300000,1,308000,1,782500,1,1,24,38,1,05,05,95.433016265242
7627514,1,1,2,1,1,1,1300000,1,308000,1,782500,1,1,48,29,1,05,05,95.433016265242
7627514,1,1,3,1,1,1,1300000,1,308000,1,782500,1,1,36,28,1,05,05,95.433016265242
7627514,1,1,4,1,1,1,1300000,1,308000,1,782500,1,1,120,40,1,05,05,95.433016265242
7627514,1,1,5,1,1,1,1300000,1,308000,1,782500,1,1,2,36,1,05,05,95.433016265242
7627516,1,3,1,1,2,1,2100000,2,,2,,2,2,60,25,1,05,05,92.9051558076589
7627516,1,3,2,1,2,2,2100000,2,,2,,2,2,36,26,1,05,05,92.9051558076589
7627516,1,3,3,1,2,1,2100000,2,,2,,2,2,12,35,1,05,05,92.9051558076589
7627516,1,3,4,1,2,1,2100000,2,,2,,2,2,24,27,1,05,05,92.9051558076589
7627532,1,2,1,2,,2,,2,,,,2,2,60,28,1,05,05,92.9223431852264
7627534,1,1,1,2,,2,,2,,,,2,2,60,21,1,05,05,103.355408559894
7627549,1,2,1,1,2,2,1175179,2,,2,,2,2,18,30,1,05,05,139.815672852952
7627563,1,1,1,1,1,1,1000000,2,,2,,2,2,6,65,1,05,05,73.3965404917385
