DIRECTORIO,SECUENCIA_P,SECUENCIA_ENCUESTA,FEX_C
7805837,1,1,569.255864304455
7668036,1,2,607.391029764358
7809156,1,1,594.093660037611
7668017,1,4,349.363026903159
7667998,1,1,302.274352896861
7668035,1,1,384.159592750909
7809145,1,1,443.646639982715
7668027,1,2,452.076073933532
7667996,1,1,301.06719638181
7809145,1,2,443.646639982715
7667985,1,2,62.1145177163347
7667966,1,3,86.6573119709666
7667969,1,3,86.6573119709666
7805829,1,1,56.3747192985584
7805825,1,1,56.8477272727268
7805812,1,1,164.086185873159
7667975,1,1,67.8902927249249
7667989,1,1,100.456442449702
7872528,1,1,105.4596771416
7633548,1,4,108.26119161302
7633542,1,1,88.5437130063812
7633541,1,1,74.4714765699173
7872539,1,2,63.1261804002075
7675708,1,1,1049.27391011599
7633548,1,1,108.26119161302
7675731,1,1,342.872090609208
7872547,1,4,151.632732387023
7675727,1,2,731.252695565557
7872529,1,1,81.6011623205617
7675729,1,2,776.465377678931
7872548,1,1,76.1846773490624
7675743,1,1,691.016196901012
7872542,1,4,79.6099232711619
7675678,1,1,866.976954230198
7872547,1,2,151.632732387023
7874986,1,1,78.6221345894103
7675713,1,1,111.833057491732
7675740,1,1,183.149897511867
7634618,1,1,56.231147693447
7634614,1,2,84.9029636024532
7872551,1,1,62.9644030199529
7675740,1,3,183.149897511867
7633559,1,1,128.834512486765
7675739,1,1,133.874696138982
7875005,1,1,79.9865389782705
7634610,1,1,84.9029636024532
7675741,1,1,101.498932233325
7867285,1,1,28.5467960720392
7815912,1,3,16.9725410574308
7634692,1,1,30.1449019713783
7780560,1,1,14.5204690744765
7780543,1,1,25.7482972640692
7719664,1,4,23.71962636267
7992412,1,2,12.1370739706554
7781605,1,1,34.5313953200965
7775228,1,1,24.689376167907
7804792,1,1,16.7897100525376
7910155,1,1,37.7172802828995
7720774,1,1,14.8134505885019
7698720,1,2,34.66150608604
7959995,1,1,18.1837921526195
7784413,1,1,18.7249622210359
7992387,1,2,9.2986358100294
7723151,1,1,11.2614998242675
7698699,1,1,12.5312992417872
7627480,1,3,27.185849368523
7776720,1,2,8.84051686266236
7872608,1,1,15.5858643117722
7960003,1,1,14.5788739788177
8018342,1,1,19.832658134761
7685573,1,1,14.0351147684446
